TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country,TotalRevenue,MonthYear
576329,2019-11-14,21739,Cosy Slipper Shoes Small Green,12.77,2,15329.0,United Kingdom,25.54,2019-11-01
557468,2019-06-20,82486,3 Drawer Antique White Wood Cabinet,19.42,2,16713.0,United Kingdom,38.84,2019-06-01
550802,2019-04-20,22621,Traditional Knitting Nancy,11.94,12,17120.0,United Kingdom,143.28,2019-04-01
577554,2019-11-20,22801,Antique Glass Pedestal Bowl,14.09,1,15533.0,United Kingdom,14.09,2019-11-01
578702,2019-11-25,22114,Hot Water Bottle Tea And Sympathy,6.19,8,15382.0,United Kingdom,49.52,2019-11-01
569246,2019-10-03,21676,Flowers Stickers,11.92,1,14096.0,United Kingdom,11.92,2019-10-01
542891,2019-02-01,23231,Wrap Vintage Doily,10.68,25,16705.0,United Kingdom,267.0,2019-02-01
547006,2019-03-18,21420,Oyster Trinket Box,13.58,1,15006.0,United Kingdom,13.58,2019-03-01
557636,2019-06-21,23103,Jingle Bell Heart Decoration,11.94,2,17841.0,United Kingdom,23.88,2019-06-01
569424,2019-10-04,21931,Jumbo Storage Bag Suki,12.38,2,15529.0,United Kingdom,24.76,2019-10-01
578359,2019-11-24,85099B,Jumbo Bag Red Retrospot,6.19,100,14607.0,United Kingdom,619.0,2019-11-01
558761,2019-07-03,22155,Star Decoration Rustic,10.68,3,15033.0,United Kingdom,32.04,2019-07-01
556927,2019-06-15,21908,Chocolate This Way Metal Sign,12.15,144,14156.0,EIRE,1749.6000000000001,2019-06-01
578844,2019-11-25,85227,Set Of 6 3d Kit Cards For Kids,6.39,2,15844.0,United Kingdom,12.78,2019-11-01
581405,2019-12-08,23212,Heart Wreath Decoration With Bell,6.19,1,13521.0,United Kingdom,6.19,2019-12-01
538852,2018-12-14,22893,Mini Cake Stand T-Light Holder,10.68,12,17372.0,United Kingdom,128.16,2018-12-01
544607,2019-02-22,21936,Red Retrospot Picnic Bag,13.27,5,13862.0,United Kingdom,66.35,2019-02-01
553856,2019-05-19,21212,Pack Of 72 Retrospot Cake Cases,10.81,1,16813.0,United Kingdom,10.81,2019-05-01
549577,2019-04-11,21509,Cowboys And Indians Birthday Card,10.68,12,14286.0,United Kingdom,128.16,2019-04-01
559499,2019-07-08,23298,Spotty Bunting,21.31,8,17499.0,United Kingdom,170.48,2019-07-01
565231,2019-09-02,20733,Gold Mini Tape Measure,11.1,1,17231.0,United Kingdom,11.1,2019-09-01
558628,2019-06-30,20712,Jumbo Bag Woodland Animals,6.19,10,12626.0,Germany,61.900000000000006,2019-06-01
561033,2019-07-24,22469,Heart Of Wicker Small,11.94,12,14443.0,United Kingdom,143.28,2019-07-01
540239,2019-01-05,22352,Lunch Box With Cutlery Retrospot,12.86,6,12682.0,France,77.16,2019-01-01
541592,2019-01-19,22721,Set Of 3 Cake Tins Sketchbook,21.31,1,16592.0,United Kingdom,21.31,2019-01-01
557136,2019-06-17,21441,Blue Birdhouse Decoration,11.12,12,14911.0,EIRE,133.44,2019-06-01
568654,2019-09-28,47503A,Ass Floral Print Multi Screwdriver,10.68,24,14911.0,EIRE,256.32,2019-09-01
544280,2019-02-17,22219,Lovebird Hanging Decoration White,11.12,12,14754.0,United Kingdom,133.44,2019-02-01
544203,2019-02-17,21746,Small Red Retrospot Windmill,11.53,12,12362.0,Belgium,138.35999999999999,2019-02-01
548330,2019-03-30,21928,Jumbo Bag Scandinavian Blue Paisley,6.19,6,14810.0,United Kingdom,37.14,2019-03-01
536587,2018-12-01,21982,Pack Of 12 Suki Tissues,10.55,24,14142.0,United Kingdom,253.20000000000002,2018-12-01
570688,2019-10-11,22465,Hanging Metal Star Lantern,13.62,4,16688.0,United Kingdom,54.48,2019-10-01
574657,2019-11-06,22943,Christmas Lights 10 Vintage Baubles,15.32,1,13772.0,United Kingdom,15.32,2019-11-01
561711,2019-07-29,22489,Pack Of 12 Traditional Crayons,10.68,24,13414.0,United Kingdom,256.32,2019-07-01
577503,2019-11-20,21056,Doctor's Bag Soft Toy,19.42,1,18110.0,United Kingdom,19.42,2019-11-01
561922,2019-08-01,22639,Set Of 4 Napkin Charms Hearts,12.86,6,13167.0,United Kingdom,77.16,2019-08-01
573151,2019-10-27,22834,Hand Warmer Babushka Design,12.4,3,17602.0,United Kingdom,37.2,2019-10-01
540977,2019-01-12,22074,6 Ribbons Shimmering Pinks,11.12,6,14977.0,United Kingdom,66.72,2019-01-01
564734,2019-08-28,85049E,Scandinavian Reds Ribbons,11.53,1,12484.0,Spain,11.53,2019-08-01
550638,2019-04-19,21033,Jumbo Bag Charlie And Lola Toys,7.24,1,17638.0,United Kingdom,7.24,2019-04-01
558337,2019-06-28,20728,Lunch Bag Cars Blue,5.97,1,15337.0,United Kingdom,5.97,2019-06-01
573874,2019-11-01,85034C,3 Rose Morris Boxed Candles,11.53,24,13868.0,United Kingdom,276.71999999999997,2019-11-01
579536,2019-11-30,21688,Silver Plate Candle Bowl Small,6.19,6,12957.0,United Kingdom,37.14,2019-11-01
576329,2019-11-14,22714,Card Birthday Cowboy,11.1,1,15329.0,United Kingdom,11.1,2019-11-01
541423,2019-01-17,21741,Cosy Slipper Shoes Large Green,16.18,3,13423.0,United Kingdom,48.54,2019-01-01
581377,2019-12-08,22809,Set Of 6 T-Lights Santa,6.19,12,14138.0,United Kingdom,74.28,2019-12-01
537641,2018-12-07,84029G,Knitted Union Flag Hot Water Bottle,18.93,4,13641.0,United Kingdom,75.72,2018-12-01
572318,2019-10-23,23198,Pantry Magnetic Shopping List,11.74,2,15436.0,United Kingdom,23.48,2019-10-01
566647,2019-09-14,23323,White Wicker Star,12.4,9,18001.0,United Kingdom,111.60000000000001,2019-09-01
555835,2019-06-07,22630,Dolly Girl Lunch Box,12.25,2,14525.0,United Kingdom,24.5,2019-06-01
564747,2019-08-28,21671,Red Spot Ceramic Drawer Knob,11.53,6,14869.0,United Kingdom,69.17999999999999,2019-08-01
547649,2019-03-24,85123A,Cream Hanging Heart T-Light Holder,13.27,6,18118.0,United Kingdom,79.62,2019-03-01
560385,2019-07-18,47599A,Pink Party Bags,12.4,6,14583.0,United Kingdom,74.4,2019-07-01
576658,2019-11-16,21616,4 Pear Botanical Dinner Candles,11.53,1,14534.0,United Kingdom,11.53,2019-11-01
555937,2019-06-08,22352,Lunch Box With Cutlery Retrospot,12.86,6,12683.0,France,77.16,2019-06-01
562450,2019-08-05,22662,Lunch Bag Dolly Girl Design,5.97,10,12562.0,France,59.699999999999996,2019-08-01
578519,2019-11-24,22352,Lunch Box With Cutlery Retrospot,6.19,1,14591.0,United Kingdom,6.19,2019-11-01
580875,2019-12-06,22124,Set Of 2 Tea Towels Ping Microwave,7.24,12,17744.0,United Kingdom,86.88,2019-12-01
536626,2018-12-02,22965,3 Traditional Biscuit Cutters Set,12.4,6,13418.0,United Kingdom,74.4,2018-12-01
544767,2019-02-23,85039A,Set/4 Red Mini Rose Candle In Bowl,13.62,2,13767.0,United Kingdom,27.24,2019-02-01
551869,2019-05-04,21724,Panda And Bunnies Sticker Sheet,11.12,10,16767.0,United Kingdom,111.19999999999999,2019-05-01
560041,2019-07-14,84997C,Childrens Cutlery Polkadot Blue,14.5,6,14156.0,EIRE,87.0,2019-07-01
545690,2019-03-06,22089,Paper Bunting Vintage Paisley,13.27,1,13263.0,United Kingdom,13.27,2019-03-01
572127,2019-10-21,22951,60 Cake Cases Dolly Girl Design,10.81,24,14911.0,EIRE,259.44,2019-10-01
574353,2019-11-04,22086,Paper Chain Kit 50'S Christmas,13.27,10,14659.0,United Kingdom,132.7,2019-11-01
560731,2019-07-20,22578,Wooden Star Christmas Scandinavian,11.12,12,16149.0,United Kingdom,133.44,2019-07-01
544796,2019-02-23,71459,Hanging Jam Jar T-Light Holders,11.12,12,16208.0,United Kingdom,133.44,2019-02-01
548505,2019-03-31,22467,Gumball Coat Rack,15.33,2,12505.0,United Kingdom,30.66,2019-03-01
552946,2019-05-12,22718,Card Cat And Tree,10.68,12,12683.0,France,128.16,2019-05-01
548868,2019-04-04,21533,Retrospot Large Milk Jug,15.32,3,13015.0,United Kingdom,45.96,2019-04-01
543546,2019-02-09,21662,Vintage Glass Coffee Caddy,22.17,1,16546.0,United Kingdom,22.17,2019-02-01
539634,2018-12-20,22198,Large Popcorn Holder,11.74,50,17230.0,United Kingdom,587.0,2018-12-01
546991,2019-03-18,22711,Wrap Circus Parade,10.68,25,12748.0,United Kingdom,267.0,2019-03-01
568984,2019-09-29,21382,Set/4 Spring Flower Decoration,11.02,1,17813.0,United Kingdom,11.02,2019-09-01
562649,2019-08-08,22241,Garland Wooden Happy Easter,11.53,1,14606.0,United Kingdom,11.53,2019-08-01
550532,2019-04-19,22411,Jumbo Shopper Vintage Red Paisley,12.38,2,14606.0,United Kingdom,24.76,2019-04-01
563585,2019-08-17,23275,Set Of 3 Hanging Owls Ollie Beak,11.53,2,17070.0,United Kingdom,23.06,2019-08-01
550324,2019-04-17,22281,Easter Tree Yellow Birds,16.35,2,12997.0,United Kingdom,32.7,2019-04-01
543096,2019-02-03,85152,Hand Over The Chocolate Sign,12.4,1,14044.0,United Kingdom,12.4,2019-02-01
559548,2019-07-10,84926E,Flowers Tile Coaster,10.55,24,17997.0,United Kingdom,253.20000000000002,2019-07-01
563191,2019-08-12,22144,Christmas Craft Little Friends,12.4,6,16678.0,United Kingdom,74.4,2019-08-01
570795,2019-10-12,23238,Set Of 4 Knick Knack Tins London,14.5,12,17193.0,United Kingdom,174.0,2019-10-01
560714,2019-07-20,22952,60 Cake Cases Vintage Christmas,10.81,1,14456.0,United Kingdom,10.81,2019-07-01
573320,2019-10-30,23171,Regency Tea Plate Green,11.94,12,15513.0,United Kingdom,143.28,2019-10-01
578270,2019-11-23,22809,Set Of 6 T-Lights Santa,6.13,3,14096.0,United Kingdom,18.39,2019-11-01
573585,2019-10-31,23154,Set Of 4 Jam Jar Magnets,14.48,1,14585.0,United Kingdom,14.48,2019-10-01
538945,2018-12-15,21166,Cook With Wine Metal Sign,11.98,48,17230.0,United Kingdom,575.04,2018-12-01
554112,2019-05-22,23147,Single Antique Rose Hook Ivory,11.74,2,17611.0,United Kingdom,23.48,2019-05-01
558906,2019-07-04,23322,Large White Heart Of Wicker,13.27,2,15555.0,United Kingdom,26.54,2019-07-01
545340,2019-03-02,21498,Red Retrospot Wrap,10.68,25,15416.0,United Kingdom,267.0,2019-03-01
550290,2019-04-15,22974,Childrens Dolly Girl Mug,11.94,12,15246.0,United Kingdom,143.28,2019-04-01
576840,2019-11-16,85227,Set Of 6 3d Kit Cards For Kids,11.92,2,14840.0,United Kingdom,23.84,2019-11-01
551398,2019-04-28,22613,Pack Of 20 Spaceboy Napkins,11.12,12,12417.0,Belgium,133.44,2019-04-01
570886,2019-10-13,15056N,Edwardian Parasol Natural,15.32,12,13777.0,United Kingdom,183.84,2019-10-01
564186,2019-08-23,22097,Swallow Square Tissue Box,10.65,12,15755.0,United Kingdom,127.80000000000001,2019-08-01
566930,2019-09-15,22809,Set Of 6 T-Lights Santa,13.27,6,15417.0,United Kingdom,79.62,2019-09-01
547357,2019-03-22,85123A,Cream Hanging Heart T-Light Holder,13.27,6,17613.0,United Kingdom,79.62,2019-03-01
570871,2019-10-12,20978,36 Pencils Tube Skulls,12.77,2,15871.0,United Kingdom,25.54,2019-10-01
571031,2019-10-13,23300,Gardeners Kneeling Pad Cup Of Tea,11.94,4,15005.0,United Kingdom,47.76,2019-10-01
557481,2019-06-20,22501,Picnic Basket Wicker Large,31.56,2,12481.0,Germany,63.12,2019-06-01
564747,2019-08-28,23089,Glass Bon Bon Jar,11.94,6,14869.0,United Kingdom,71.64,2019-08-01
540153,2019-01-05,22676,French Blue Metal Door Sign 1,11.53,10,15841.0,United Kingdom,115.3,2019-01-01
575952,2019-11-13,21917,Set 12 Kids White Chalk Sticks,10.68,2,16015.0,United Kingdom,21.36,2019-11-01
552667,2019-05-10,21086,Set/6 Red Spotty Paper Cups,11.92,2,16667.0,United Kingdom,23.84,2019-05-01
561196,2019-07-25,22457,Natural Slate Heart Chalkboard,13.27,6,14342.0,United Kingdom,79.62,2019-07-01
552229,2019-05-06,21509,Cowboys And Indians Birthday Card,11.1,1,15229.0,United Kingdom,11.1,2019-05-01
545999,2019-03-08,22026,Banquet Birthday Card,10.68,12,13089.0,United Kingdom,128.16,2019-03-01
544463,2019-02-20,90148,Long Silver Necklace Pastel Flower,23.32,2,12988.0,United Kingdom,46.64,2019-02-01
548176,2019-03-29,22645,Ceramic Heart Fairy Cake Money Bank,11.74,2,13439.0,United Kingdom,23.48,2019-03-01
569533,2019-10-04,23322,Large White Heart Of Wicker,13.27,1,16374.0,United Kingdom,13.27,2019-10-01
538206,2018-12-10,90081A,Lily Brooch Amethyst Colour,15.32,3,17827.0,United Kingdom,45.96,2018-12-01
552302,2019-05-08,84692,Box Of 24 Cocktail Parasols,10.68,2,14606.0,United Kingdom,21.36,2019-05-01
553386,2019-05-16,21790,Vintage Snap Cards,11.12,12,13381.0,United Kingdom,133.44,2019-05-01
566587,2019-09-13,23191,Bundle Of 3 Retro Note Books,11.94,12,14132.0,United Kingdom,143.28,2019-09-01
566602,2019-09-13,22817,Card Suki Birthday,10.68,1,16602.0,United Kingdom,10.68,2019-09-01
579694,2019-11-30,21523,Doormat Fancy Font Home Sweet Home,6.19,1,14694.0,United Kingdom,6.19,2019-11-01
566932,2019-09-15,23247,Biscuit Tin 50'S Christmas,13.21,1,17576.0,United Kingdom,13.21,2019-09-01
540359,2019-01-06,84997A,Childrens Cutlery Polkadot Green,14.09,8,18041.0,United Kingdom,112.72,2019-01-01
546776,2019-03-16,85123A,Cream Hanging Heart T-Light Holder,13.27,6,17460.0,United Kingdom,79.62,2019-03-01
569629,2019-10-05,21539,Red Retrospot Butter Dish,15.32,3,15249.0,United Kingdom,45.96,2019-10-01
539299,2018-12-16,21043,Apron Modern Vintage Cotton,16.35,3,14180.0,United Kingdom,49.050000000000004,2018-12-01
579167,2019-11-28,23400,Shelf With 4 Hooks Home Sweet Home,6.19,2,16800.0,United Kingdom,12.38,2019-11-01
555947,2019-06-08,47518F,Icon Placemat Pop Art Elvis,10.37,24,14911.0,EIRE,248.88,2019-06-01
555397,2019-06-02,20961,Strawberry Bath Sponge,12.77,1,13397.0,United Kingdom,12.77,2019-06-01
574967,2019-11-08,84997C,Childrens Cutlery Polkadot Blue,18.75,3,17967.0,United Kingdom,56.25,2019-11-01
578270,2019-11-23,21218,Red Spotty Biscuit Tin,7.24,1,14096.0,United Kingdom,7.24,2019-11-01
568346,2019-09-26,84992,72 Sweetheart Fairy Cake Cases,11.53,4,14096.0,United Kingdom,46.12,2019-09-01
540543,2019-01-09,82486,3 Drawer Antique White Wood Cabinet,18.4,2,14395.0,United Kingdom,36.8,2019-01-01
573319,2019-10-30,23583,Lunch Bag Paisley Park,5.97,10,17651.0,United Kingdom,59.699999999999996,2019-10-01
577695,2019-11-21,22465,Hanging Metal Star Lantern,11.94,6,15645.0,United Kingdom,71.64,2019-11-01
563024,2019-08-11,23040,Paper Lantern 9 Point Snow Star,14.5,4,14639.0,United Kingdom,58.0,2019-08-01
546913,2019-03-17,79190D,Retro Plastic Daisy Tray,10.68,6,15861.0,United Kingdom,64.08,2019-03-01
577869,2019-11-22,85199S,Small Hanging Ivory/Red Wood Bird,6.13,11,13268.0,United Kingdom,67.42999999999999,2019-11-01
572312,2019-10-23,21617,4 Lily Botanical Dinner Candles,11.53,2,15022.0,United Kingdom,23.06,2019-10-01
549967,2019-04-13,21171,Bathroom Metal Sign,10.81,25,17873.0,United Kingdom,270.25,2019-04-01
541423,2019-01-17,84510C,Set Of 4 Polkadot Coasters,12.77,1,13423.0,United Kingdom,12.77,2019-01-01
567211,2019-09-19,84991,60 Teatime Fairy Cake Cases,10.81,3,14159.0,United Kingdom,32.43,2019-09-01
553120,2019-05-13,21500,Pink Polkadot Wrap,10.68,25,17139.0,United Kingdom,267.0,2019-05-01
538153,2018-12-09,22630,Dolly Girl Lunch Box,12.82,1,13153.0,United Kingdom,12.82,2018-12-01
551058,2019-04-26,85175,Cacti T-Light Candles,10.68,16,14606.0,United Kingdom,170.88,2019-04-01
574826,2019-11-07,23406,Home Sweet Home Key Holder,16.66,1,15870.0,United Kingdom,16.66,2019-11-01
580115,2019-12-01,22720,Set Of 3 Cake Tins Pantry Design,6.19,2,12115.0,United Kingdom,12.38,2019-12-01
579471,2019-11-29,22173,Metal 4 Hook Hanger French Chateau,6.13,2,16471.0,United Kingdom,12.26,2019-11-01
576927,2019-11-17,23290,Spaceboy Childrens Bowl,11.53,8,12567.0,France,92.24,2019-11-01
571292,2019-10-16,22758,Large Purple Babushka Notebook,11.53,5,15311.0,United Kingdom,57.65,2019-10-01
576326,2019-11-14,22493,Paint Your Own Canvas Set,11.94,20,16504.0,United Kingdom,238.79999999999998,2019-11-01
543486,2019-02-09,22699,Roses Regency Teacup And Saucer,13.27,6,13319.0,United Kingdom,79.62,2019-02-01
576065,2019-11-13,20727,Lunch Bag Black Skull,5.97,2,15005.0,United Kingdom,11.94,2019-11-01
579777,2019-11-30,23575,Snack Tray Paisley Park,6.19,1,13777.0,United Kingdom,6.19,2019-11-01
564135,2019-08-23,47566,Party Bunting,15.32,6,16550.0,United Kingdom,91.92,2019-08-01
579132,2019-11-28,21820,Glitter Heart Garland With Bells,7.24,6,15022.0,United Kingdom,43.44,2019-11-01
545188,2019-02-28,21790,Vintage Snap Cards,11.12,6,14056.0,United Kingdom,66.72,2019-02-01
541104,2019-01-13,84685,Beach Hut Key Cabinet,17.9,1,15104.0,United Kingdom,17.9,2019-01-01
568134,2019-09-23,85039A,Set/4 Red Mini Rose Candle In Bowl,11.92,2,12134.0,United Kingdom,23.84,2019-09-01
550920,2019-04-21,21201,Tropical Honeycomb Paper Garland,12.86,12,14735.0,United Kingdom,154.32,2019-04-01
550324,2019-04-17,23065,Large Deco Jewellery Stand,23.06,1,12997.0,United Kingdom,23.06,2019-04-01
539587,2018-12-20,85230B,Cinnamon Scented Votive Candle,10.47,48,14298.0,United Kingdom,502.56000000000006,2018-12-01
581219,2019-12-08,21892,Traditional Wooden Catch Cup Game,6.19,4,16219.0,United Kingdom,24.76,2019-12-01
566629,2019-09-14,23234,Biscuit Tin Vintage Christmas,13.21,6,15622.0,United Kingdom,79.26,2019-09-01
560188,2019-07-15,23315,Ivory Refectory Clock,20.45,2,18229.0,United Kingdom,40.9,2019-07-01
573879,2019-11-01,23343,Jumbo Bag Vintage Christmas,6.19,2,15039.0,United Kingdom,12.38,2019-11-01
536876,2018-12-03,22952,60 Cake Cases Vintage Christmas,10.81,24,12876.0,Belgium,259.44,2018-12-01
555486,2019-06-03,22979,Pantry Washing Up Brush,11.74,12,13248.0,United Kingdom,140.88,2019-06-01
538095,2018-12-09,84818,Danish Rose Photo Frame,12.86,1,17097.0,Spain,12.86,2018-12-01
552821,2019-05-11,21155,Red Retrospot Peg Bag,12.86,4,18118.0,United Kingdom,51.44,2019-05-01
539739,2018-12-21,22669,Red Baby Bunting,16.31,1,15739.0,United Kingdom,16.31,2018-12-01
536378,2018-12-01,85183B,Charlie & Lola Wastepaper Bin Flora,11.53,48,14688.0,United Kingdom,553.4399999999999,2018-12-01
538523,2018-12-13,21843,Red Retrospot Cake Stand,21.47,1,13198.0,United Kingdom,21.47,2018-12-01
553173,2019-05-13,21781,Ma Campagne Cutlery Box,25.57,2,17400.0,United Kingdom,51.14,2019-05-01
555510,2019-06-03,22356,Charlotte Bag Pink Polkadot,11.92,1,13510.0,United Kingdom,11.92,2019-06-01
567656,2019-09-21,22380,Toy Tidy Spaceboy,14.48,1,14096.0,United Kingdom,14.48,2019-09-01
538678,2018-12-13,21175,Gin And Tonic Diet Metal Sign,12.4,2,14678.0,United Kingdom,24.8,2018-12-01
546884,2019-03-17,35915C,Peach Knitted Hen,11.1,2,12884.0,United Kingdom,22.2,2019-03-01
574304,2019-11-03,79321,Chilli Lights,16.14,1,14428.0,United Kingdom,16.14,2019-11-01
569977,2019-10-06,23414,Zinc Box Sign Home,20.45,3,14702.0,United Kingdom,61.349999999999994,2019-10-01
538796,2018-12-14,22937,Baking Mould Chocolate Cupcakes,12.86,6,17041.0,United Kingdom,77.16,2018-12-01
580367,2019-12-02,21976,Pack Of 60 Mushroom Cake Cases,7.24,2,13367.0,United Kingdom,14.48,2019-12-01
564342,2019-08-24,23189,Set Of 12 Fork Candles,13.21,2,16340.0,United Kingdom,26.42,2019-08-01
544412,2019-02-18,22271,Feltcraft Doll Rosie,13.27,6,16531.0,United Kingdom,79.62,2019-02-01
571123,2019-10-14,23508,Mini Playing Cards Dolly Girl,10.68,20,14856.0,United Kingdom,213.6,2019-10-01
538071,2018-12-09,22726,Alarm Clock Bakelike Green,18.06,1,12071.0,United Kingdom,18.06,2018-12-01
579673,2019-11-30,23582,Vintage Doily Jumbo Bag Red,6.19,3,18283.0,United Kingdom,18.57,2019-11-01
541421,2019-01-17,84970L,Single Heart Zinc T-Light Holder,12.38,1,14421.0,United Kingdom,12.38,2019-01-01
554694,2019-05-25,22308,Tea Cosy Blue Stripe,15.33,2,13694.0,United Kingdom,30.66,2019-05-01
571413,2019-10-17,21507,Elephant Birthday Card,10.68,12,13923.0,United Kingdom,128.16,2019-10-01
562841,2019-08-09,22274,Feltcraft Doll Emily,13.27,6,17675.0,United Kingdom,79.62,2019-08-01
576256,2019-11-14,23263,Set Of 3 Wooden Heart Decorations,11.53,4,15953.0,United Kingdom,46.12,2019-11-01
551809,2019-05-04,84755,Colour Glass T-Light Holder Hanging,10.81,144,17511.0,United Kingdom,1556.64,2019-05-01
539958,2018-12-23,84946,Antique Silver T-Light Glass,12.82,6,13958.0,United Kingdom,76.92,2018-12-01
542080,2019-01-25,22741,Funky Diva Pen,11.12,48,13815.0,Germany,533.76,2019-01-01
546892,2019-03-17,22383,Lunch Bag Suki Design,7.24,1,15892.0,United Kingdom,7.24,2019-03-01
